Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,School ID - NCES Assigned,School Name,District Entity ID,District Name,Average Percent Passing,Year,Charter School Dummy,Male Students Percentage,Female Students Percentage,American Indian/Alaska Native Students Percentage,Asian or Asian/Pacific Islander Students Percentage,Hispanic Students Percentage,Black or African American Students Percentage,White Students Percentage,Nat. Hawaiian or Other Pacific Isl. Students Percentage,Two or More Races Students Percentage,Free and Reduced Lunch Students Percentage,School Level: Primary,School Level: Middle,School Level: High,School Level: Other,Apache County,Cochise County,Coconino County,Gila County,Graham County,Greenlee County,La Paz County,Maricopa County,Mohave County,Navajo County,Pima County,Pinal County,Santa Cruz County,Yavapai County,Yuma County,0403,0401,0406,0407,0404,0402,0405,0409,0408
Casa Grande Elementary District,0401710,Pinal County,04021,2-No,5-Title I schoolwide school,0401,Yes under Community Eligibility Option (CEO),1-Primary,436,,226,210,17,4,319,10,75,0,11,040171000109,Evergreen Elementary School,4446,Casa Grande Elementary District,33.0,2017,0,0.518348623853211,0.481651376146789,0.0389908256880734,0.009174311926605505,0.731651376146789,0.022935779816513763,0.1720183486238532,0.0,0.02522935779816514,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Creighton Elementary District,0402430,Maricopa County,04013,2-No,5-Title I schoolwide school,0407,Yes participating without using any Provision or the CEO,1-Primary,863,761,453,410,16,4,762,57,15,2,7,040243001999,Excelencia School,4263,Creighton Elementary District,22.5,2017,0,0.5249130938586327,0.47508690614136734,0.01853997682502897,0.004634994206257242,0.8829663962920047,0.0660486674391657,0.01738122827346466,0.002317497103128621,0.008111239860950173,0.8818076477404403,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Paradise Valley Unified District,0405930,Maricopa County,04013,2-No,1-Title I targeted assistance eligible school-No program,0406,Yes participating without using any Provision or the CEO,2-Middle,886,45,466,420,3,27,72,22,726,0,36,040593001230,Explorer Middle School,4241,Paradise Valley Unified District,69.0,2017,0,0.5259593679458239,0.47404063205417607,0.003386004514672686,0.030474040632054177,0.08126410835214447,0.024830699774266364,0.8194130925507901,0.0,0.040632054176072234,0.050790067720090294,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Morenci Unified District,0405320,Greenlee County,04011,2-No,6-Not a Title I school,0401,Yes participating without using any Provision or the CEO,2-Middle,377,161,202,175,12,3,247,6,102,0,7,040532003369,Fairbanks Middle School,4230,Morenci Unified District,45.5,2017,0,0.5358090185676393,0.46419098143236076,0.03183023872679045,0.007957559681697613,0.6551724137931034,0.015915119363395226,0.27055702917771884,0.0,0.01856763925729443,0.4270557029177719,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mesa Unified District,0404970,Maricopa County,04013,2-No,5-Title I schoolwide school,0405,Yes participating without using any Provision or the CEO,1-Primary,510,220,269,241,3,5,101,26,361,2,12,040497001497,Falcon Hill Elementary School,4235,Mesa Unified District,44.0,2017,0,0.5274509803921569,0.4725490196078431,0.0058823529411764705,0.00980392156862745,0.1980392156862745,0.050980392156862744,0.707843137254902,0.00392156862745098,0.023529411764705882,0.43137254901960786,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Douglas Unified District,0402530,Cochise County,04003,2-No,6-Not a Title I school,0402,Yes participating without using any Provision or the CEO,1-Primary,148,63,96,52,0,0,146,0,2,0,0,040253000191,Faras Elementary School,4174,Douglas Unified District,32.5,2017,0,0.6486486486486487,0.35135135135135137,0.0,0.0,0.9864864864864865,0.0,0.013513513513513514,0.0,0.0,0.42567567567567566,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tempe School District,0408310,Maricopa County,04013,2-No,5-Title I schoolwide school,0409,Yes participating without using any Provision or the CEO,2-Middle,850,666,469,381,106,25,470,85,149,0,15,040831001107,Fees College Preparatory Middle School,4258,Tempe School District,23.5,2017,0,0.5517647058823529,0.44823529411764707,0.12470588235294118,0.029411764705882353,0.5529411764705883,0.1,0.17529411764705882,0.0,0.01764705882352941,0.7835294117647059,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wickenburg Unified District,0409190,Maricopa County,04013,2-No,3-Title I schoolwide eligible-Title I targeted assistance program,0404,Yes participating without using any Provision or the CEO,1-Primary,224,66,101,123,2,0,32,14,167,1,8,040919002827,Festival Foothills Elementary School,4236,Wickenburg Unified District,47.0,2017,0,0.45089285714285715,0.5491071428571429,0.008928571428571428,0.0,0.14285714285714285,0.0625,0.7455357142857143,0.004464285714285714,0.03571428571428571,0.29464285714285715,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mesa Unified District,0404970,Maricopa County,04013,2-No,5-Title I schoolwide school,0405,Yes participating without using any Provision or the CEO,1-Primary,599,436,324,275,24,0,309,31,218,3,14,040497000385,Field Elementary School,4235,Mesa Unified District,41.5,2017,0,0.5409015025041736,0.4590984974958264,0.04006677796327212,0.0,0.5158597662771286,0.05175292153589316,0.3639398998330551,0.005008347245409015,0.02337228714524207,0.7278797996661102,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Littleton Elementary District,0404440,Maricopa County,04013,2-No,5-Title I schoolwide school,0403,Yes participating without using any Provision or the CEO,1-Primary,481,413,177,304,7,12,341,55,55,1,10,040444003533,Fine Arts Academy,4278,Littleton Elementary District,21.5,2017,0,0.367983367983368,0.632016632016632,0.014553014553014554,0.02494802494802495,0.7089397089397089,0.11434511434511435,0.11434511434511435,0.002079002079002079,0.02079002079002079,0.8586278586278586,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gilbert Unified District,0403400,Maricopa County,04013,2-No,1-Title I targeted assistance eligible school-No program,0405,Yes participating without using any Provision or the CEO,1-Primary,680,151,356,324,7,25,147,25,443,4,29,040340001192,Finley Farms Elementary,4239,Gilbert Unified District,66.0,2017,0,0.5235294117647059,0.4764705882352941,0.010294117647058823,0.03676470588235294,0.2161764705882353,0.03676470588235294,0.6514705882352941,0.0058823529411764705,0.04264705882352941,0.22205882352941175,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Paradise Valley Unified District,0405930,Maricopa County,04013,2-No,1-Title I targeted assistance eligible school-No program,0406,Yes participating without using any Provision or the CEO,1-Primary,752,33,375,377,2,49,64,0,607,3,27,040593003313,Fireside Elementary School,4241,Paradise Valley Unified District,85.5,2017,0,0.49867021276595747,0.5013297872340425,0.0026595744680851063,0.06515957446808511,0.0851063829787234,0.0,0.8071808510638298,0.003989361702127659,0.03590425531914894,0.043882978723404256,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mammoth-San Manuel Unified District,0404570,Pinal County,04021,2-No,5-Title I schoolwide school,0401,Yes participating without using any Provision or the CEO,1-Primary,289,286,143,146,2,2,182,5,94,0,4,040457000363,First Avenue Elementary School,4439,Mammoth-San Manuel Unified District,37.0,2017,0,0.49480968858131485,0.5051903114186851,0.006920415224913495,0.006920415224913495,0.629757785467128,0.01730103806228374,0.32525951557093424,0.0,0.01384083044982699,0.9896193771626297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Flagstaff Arts And Leadership Academy,0400019,Coconino County,04005,1-Yes,6-Not a Title I school,0401,No,3-High,311,,120,191,7,5,41,3,243,0,12,040001900498,Flagstaff Arts And Leadership Academy,4202,Flagstaff Arts And Leadership Academy,41.0,2017,1,0.3858520900321543,0.6141479099678456,0.022508038585209004,0.01607717041800643,0.13183279742765272,0.00964630225080386,0.7813504823151125,0.0,0.03858520900321544,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Flagstaff Unified District,0402860,Coconino County,04005,2-No,1-Title I targeted assistance eligible school-No program,0401,Yes participating without using any Provision or the CEO,3-High,1496,504,779,717,365,24,304,9,738,1,55,040286000215,Flagstaff High School,4192,Flagstaff Unified District,27.0,2017,0,0.5207219251336899,0.47927807486631013,0.24398395721925134,0.016042780748663103,0.20320855614973263,0.006016042780748663,0.49331550802139035,0.0006684491978609625,0.03676470588235294,0.33689839572192515,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Flagstaff Junior Academy,0400098,Coconino County,04005,1-Yes,2-Title I targeted assistance school,0401,No,1-Primary,294,68,153,141,18,5,35,6,218,2,10,040009801180,Flagstaff Junior Academy,4207,Flagstaff Junior Academy,41.0,2017,1,0.5204081632653061,0.47959183673469385,0.061224489795918366,0.017006802721088437,0.11904761904761904,0.02040816326530612,0.7414965986394558,0.006802721088435374,0.034013605442176874,0.23129251700680273,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tempe School District,0408310,Maricopa County,04013,2-No,5-Title I schoolwide school,0409,Yes under Community Eligibility Option (CEO),1-Primary,563,431,280,283,28,3,403,50,32,18,29,040831000786,Flora Thew Elementary School,4258,Tempe School District,22.0,2017,0,0.49733570159857904,0.5026642984014209,0.0497335701598579,0.0053285968028419185,0.7158081705150977,0.08880994671403197,0.056838365896980464,0.03197158081705151,0.05150976909413854,0.7655417406749556,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Florence Unified School District,0402920,Pinal County,04021,2-No,5-Title I schoolwide school,0404,Yes participating without using any Provision or the CEO,3-High,789,399,409,380,23,9,240,61,433,2,21,040292000228,Florence High School,4437,Florence Unified School District,25.0,2017,0,0.5183776932826363,0.4816223067173637,0.029150823827629912,0.011406844106463879,0.3041825095057034,0.07731305449936629,0.5487959442332065,0.0025348542458808617,0.026615969581749048,0.5057034220532319,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Florence Unified School District,0402920,Pinal County,04021,2-No,5-Title I schoolwide school,0404,Yes participating without using any Provision or the CEO,1-Primary,705,486,355,350,17,6,338,23,291,3,27,040292000227,Florence K-8,4437,Florence Unified School District,29.5,2017,0,0.5035460992907801,0.49645390070921985,0.024113475177304965,0.00851063829787234,0.4794326241134752,0.032624113475177303,0.4127659574468085,0.00425531914893617,0.03829787234042553,0.6893617021276596,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Flowing Wells Unified District,0403010,Pima County,04019,2-No,4-Title I schoolwide eligible school-No program,0402,No,3-High,44,29,22,22,5,1,21,2,14,0,1,040301003331,Flowing Wells Digital Campus,4405,Flowing Wells Unified District,16.0,2017,0,0.5,0.5,0.11363636363636363,0.022727272727272728,0.4772727272727273,0.045454545454545456,0.3181818181818182,0.0,0.022727272727272728,0.6590909090909091,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Flowing Wells Unified District,0403010,Pima County,04019,2-No,5-Title I schoolwide school,0402,Yes participating without using any Provision or the CEO,3-High,1740,1182,,,,,,,,,,040301000231,Flowing Wells High School,4405,Flowing Wells Unified District,23.5,2017,0,,,,,,,,,,0.6793103448275862,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Flowing Wells Unified District,0403010,Pima County,04019,2-No,5-Title I schoolwide school,0402,Yes participating without using any Provision or the CEO,2-Middle,798,635,396,402,11,13,515,14,234,1,10,040301000232,Flowing Wells Junior High School,4405,Flowing Wells Unified District,40.5,2017,0,0.49624060150375937,0.5037593984962406,0.013784461152882205,0.016290726817042606,0.6453634085213033,0.017543859649122806,0.2932330827067669,0.0012531328320802004,0.012531328320802004,0.7957393483709273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Peoria Unified School District,0406250,Maricopa County,04013,2-No,5-Title I schoolwide school,0408,Yes participating without using any Provision or the CEO,1-Primary,600,322,286,314,4,13,157,27,368,0,31,040625001091,Foothills Elementary School,4237,Peoria Unified School District,36.0,2017,0,0.4766666666666667,0.5233333333333333,0.006666666666666667,0.021666666666666667,0.26166666666666666,0.045,0.6133333333333333,0.0,0.051666666666666666,0.5366666666666666,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tucson Unified District,0408800,Pima County,04019,2-No,5-Title I schoolwide school,0402,Yes participating without using any Provision or the CEO,1-Primary,349,251,182,167,3,7,170,20,117,1,31,040880000843,Ford Elementary,4403,Tucson Unified District,29.0,2017,0,0.5214899713467048,0.4785100286532951,0.008595988538681949,0.02005730659025788,0.4871060171919771,0.05730659025787966,0.335243553008596,0.0028653295128939827,0.08882521489971347,0.7191977077363897,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Mohave Valley Elementary District,0405190,Mohave County,04015,2-No,,0404,Yes under Community Eligibility Option (CEO),1-Primary,343,,184,159,20,0,117,8,185,0,13,040519001415,Fort Mohave Elementary School,4379,Mohave Valley Elementary District,,2017,0,0.5364431486880467,0.46355685131195334,0.05830903790087463,0.0,0.34110787172011664,0.023323615160349854,0.5393586005830904,0.0,0.037900874635568516,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fort Thomas Unified District,0403200,Graham County,04009,2-No,5-Title I schoolwide school,0401,Yes under Community Eligibility Option (CEO),1-Primary,277,,130,147,253,0,2,0,22,0,0,040320000248,Fort Thomas Elementary School,4221,Fort Thomas Unified District,27.0,2017,0,0.4693140794223827,0.5306859205776173,0.9133574007220217,0.0,0.007220216606498195,0.0,0.07942238267148015,0.0,0.0,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fort Thomas Unified District,0403200,Graham County,04009,2-No,5-Title I schoolwide school,0401,Yes under Community Eligibility Option (CEO),3-High,220,,102,118,193,0,4,1,22,0,0,040320000249,Fort Thomas High School,4221,Fort Thomas Unified District,11.0,2017,0,0.4636363636363636,0.5363636363636364,0.8772727272727273,0.0,0.01818181818181818,0.004545454545454545,0.1,0.0,0.0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fountain Hills Charter School,0400113,Maricopa County,04013,1-Yes,6-Not a Title I school,0406,No,1-Primary,84,,44,40,6,0,11,3,59,2,3,040011301601,Fountain Hills Charter School,4356,Fountain Hills Charter School,26.0,2017,1,0.5238095238095238,0.47619047619047616,0.07142857142857142,0.0,0.13095238095238096,0.03571428571428571,0.7023809523809523,0.023809523809523808,0.03571428571428571,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fountain Hills Unified District,0403040,Maricopa County,04013,2-No,1-Title I targeted assistance eligible school-No program,0406,Yes participating without using any Provision or the CEO,3-High,535,92,304,231,39,15,46,4,418,1,12,040304000038,Fountain Hills High School,4247,Fountain Hills Unified District,44.5,2017,0,0.5682242990654206,0.43177570093457945,0.07289719626168224,0.028037383177570093,0.08598130841121496,0.007476635514018692,0.7813084112149533,0.001869158878504673,0.022429906542056073,0.17196261682242991,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fountain Hills Unified District,0403040,Maricopa County,04013,2-No,1-Title I targeted assistance eligible school-No program,0406,Yes participating without using any Provision or the CEO,2-Middle,369,97,206,163,47,4,40,4,253,1,20,040304000639,Fountain Hills Middle School,4247,Fountain Hills Unified District,45.0,2017,0,0.5582655826558266,0.44173441734417346,0.12737127371273713,0.01084010840108401,0.10840108401084012,0.01084010840108401,0.6856368563685636,0.0027100271002710027,0.05420054200542006,0.26287262872628725,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Apache Junction Unified District,0400790,Pinal County,04021,2-No,6-Not a Title I school,0404,Yes participating without using any Provision or the CEO,1-Primary,716,611,376,340,4,3,274,13,412,0,10,040079000041,Four Peaks Elementary School,4443,Apache Junction Unified District,38.5,2017,0,0.5251396648044693,0.4748603351955307,0.00558659217877095,0.004189944134078212,0.38268156424581007,0.018156424581005588,0.5754189944134078,0.0,0.013966480446927373,0.8533519553072626,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Yuma Elementary District,0409600,Yuma County,04027,2-No,5-Title I schoolwide school,0403,Yes under Provision 2,2-Middle,404,401,214,190,10,1,367,5,19,0,2,040960000985,Fourth Avenue Junior High School,4499,Yuma Elementary District,16.0,2017,0,0.5297029702970297,0.47029702970297027,0.024752475247524754,0.0024752475247524753,0.9084158415841584,0.012376237623762377,0.04702970297029703,0.0,0.0049504950495049506,0.9925742574257426,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Fowler Elementary District,0403060,Maricopa County,04013,2-No,6-Not a Title I school,0407,Yes participating without using any Provision or the CEO,1-Primary,649,315,333,316,14,1,549,48,33,2,2,040306000240,Fowler Elementary School,4273,Fowler Elementary District,24.5,2017,0,0.5130970724191063,0.4869029275808937,0.02157164869029276,0.0015408320493066256,0.8459167950693375,0.07395993836671803,0.05084745762711865,0.0030816640986132513,0.0030816640986132513,0.48536209553158705,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bullhead City School District,0401500,Mohave County,04015,2-No,5-Title I schoolwide school,0404,Yes under Community Eligibility Option (CEO),2-Middle,486,480,238,248,11,3,117,8,326,2,19,040150001757,Fox Creek Jr High School,4378,Bullhead City School District,36.0,2017,0,0.4897119341563786,0.5102880658436214,0.02263374485596708,0.006172839506172839,0.24074074074074073,0.01646090534979424,0.6707818930041153,0.00411522633744856,0.03909465020576132,0.9876543209876543,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Queen Creek Unified District,0406810,Maricopa County,04013,2-No,6-Not a Title I school,0405,Yes participating without using any Provision or the CEO,1-Primary,646,254,346,300,6,4,179,20,408,2,27,040681002485,Frances Brandon-Pickett Elementary,4245,Queen Creek Unified District,67.5,2017,0,0.5356037151702786,0.46439628482972134,0.009287925696594427,0.006191950464396285,0.2770897832817337,0.030959752321981424,0.631578947368421,0.0030959752321981426,0.04179566563467492,0.3931888544891641,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tucson Unified District,0408800,Pima County,04019,2-No,5-Title I schoolwide school,0403,Yes participating without using any Provision or the CEO,1-Primary,289,252,157,132,30,1,238,5,12,0,3,040880000902,Frances J Warren Elementary School,4403,Tucson Unified District,25.0,2017,0,0.5432525951557093,0.45674740484429066,0.10380622837370242,0.0034602076124567475,0.8235294117647058,0.01730103806228374,0.04152249134948097,0.0,0.010380622837370242,0.8719723183391004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Amphitheater Unified District,0400680,Pima County,04019,2-No,5-Title I schoolwide school,0402,Yes participating without using any Provision or the CEO,1-Primary,398,,214,184,15,8,235,26,93,2,19,040068000025,Frances Owen Holaway Elementary School,4406,Amphitheater Unified District,34.5,2017,0,0.5376884422110553,0.4623115577889447,0.03768844221105527,0.020100502512562814,0.5904522613065326,0.06532663316582915,0.23366834170854273,0.005025125628140704,0.04773869346733668,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Nogales Unified District,0405530,Santa Cruz County,04023,2-No,5-Title I schoolwide school,0403,Yes under Provision 2,1-Primary,557,554,278,279,0,3,548,1,5,0,0,040553001470,Francisco Vasquez De Coronado Elementary School,4457,Nogales Unified District,64.5,2017,0,0.4991023339317774,0.5008976660682226,0.0,0.005385996409335727,0.9838420107719928,0.0017953321364452424,0.008976660682226212,0.0,0.0,0.9946140035906643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Cartwright Elementary District,0401680,Maricopa County,04013,2-No,6-Not a Title I school,0407,Yes under Provision 2,1-Primary,1126,1123,588,538,15,5,1031,35,25,3,12,040168000094,Frank Borman School,4282,Cartwright Elementary District,21.0,2017,0,0.522202486678508,0.477797513321492,0.013321492007104795,0.004440497335701598,0.9156305506216696,0.03108348134991119,0.022202486678507993,0.0026642984014209592,0.010657193605683837,0.9973357015985791,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tempe School District,0408310,Maricopa County,04013,2-No,5-Title I schoolwide school,0407,Yes under Community Eligibility Option (CEO),1-Primary,511,404,256,255,176,1,279,20,17,1,17,040831000787,Frank Elementary School,4258,Tempe School District,27.0,2017,0,0.5009784735812133,0.49902152641878667,0.34442270058708413,0.0019569471624266144,0.5459882583170255,0.03913894324853229,0.033268101761252444,0.0019569471624266144,0.033268101761252444,0.7906066536203522,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mesa Unified District,0404970,Maricopa County,04013,2-No,4-Title I schoolwide eligible school-No program,0409,Yes participating without using any Provision or the CEO,1-Primary,336,149,172,164,8,15,104,13,177,7,12,040497003205,Franklin at Alma Elementary,4235,Mesa Unified District,76.0,2017,0,0.5119047619047619,0.4880952380952381,0.023809523809523808,0.044642857142857144,0.30952380952380953,0.03869047619047619,0.5267857142857143,0.020833333333333332,0.03571428571428571,0.44345238095238093,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mesa Unified District,0404970,Maricopa County,04013,2-No,1-Title I targeted assistance eligible school-No program,0405,Yes participating without using any Provision or the CEO,1-Primary,839,201,385,454,3,14,122,28,645,7,20,040497003348,Franklin at Brimhall Elementary,4235,Mesa Unified District,82.0,2017,0,0.45887961859356374,0.5411203814064363,0.003575685339690107,0.0166865315852205,0.14541120381406436,0.033373063170441,0.768772348033373,0.00834326579261025,0.023837902264600714,0.2395709177592372,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mesa Unified District,0404970,Maricopa County,04013,2-No,1-Title I targeted assistance eligible school-No program,0405,Yes participating without using any Provision or the CEO,4-Other,266,100,111,155,5,8,64,4,178,6,1,040497003005,Franklin Junior High School,4235,Mesa Unified District,91.0,2017,0,0.41729323308270677,0.5827067669172933,0.018796992481203006,0.03007518796992481,0.24060150375939848,0.015037593984962405,0.6691729323308271,0.022556390977443608,0.0037593984962406013,0.37593984962406013,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Franklin Phonetic Primary School  Inc.,0400092,Yavapai County,04025,1-Yes,5-Title I schoolwide school,0404,Yes participating without using any Provision or the CEO,1-Primary,451,243,212,239,3,12,97,1,320,2,16,040009201075,Franklin Phonetic Primary School,4495,"Franklin Phonetic Primary School, Inc.",45.0,2017,1,0.4700665188470067,0.5299334811529933,0.0066518847006651885,0.026607538802660754,0.21507760532150777,0.0022172949002217295,0.7095343680709535,0.004434589800443459,0.03547671840354767,0.5388026607538803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Franklin Phonetic Primary School  Inc.,0400914,Maricopa County,04013,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,0409,Yes participating without using any Provision or the CEO,1-Primary,63,51,31,32,3,0,33,7,19,0,1,040091403452,Franklin Phonetic Primary School-Sunnyslope,92596,"Franklin Phonetic Primary School, Inc.",54.0,2017,1,0.49206349206349204,0.5079365079365079,0.047619047619047616,0.0,0.5238095238095238,0.1111111111111111,0.30158730158730157,0.0,0.015873015873015872,0.8095238095238095,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Phoenix Union High School District,0406330,Maricopa County,04013,2-No,5-Title I schoolwide school,0407,Yes participating without using any Provision or the CEO,3-High,305,285,164,141,1,3,276,7,16,0,2,040633002859,Franklin Police and Fire High School,4286,Phoenix Union High School District,47.5,2017,0,0.5377049180327869,0.46229508196721314,0.003278688524590164,0.009836065573770493,0.9049180327868852,0.022950819672131147,0.05245901639344262,0.0,0.006557377049180328,0.9344262295081968,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mesa Unified District,0404970,Maricopa County,04013,2-No,4-Title I schoolwide eligible school-No program,0409,Yes participating without using any Provision or the CEO,1-Primary,574,265,271,303,6,4,176,13,351,15,9,040497000118,Franklin West Elementary,4235,Mesa Unified District,63.5,2017,0,0.4721254355400697,0.5278745644599303,0.010452961672473868,0.006968641114982578,0.30662020905923343,0.02264808362369338,0.6114982578397212,0.02613240418118467,0.0156794425087108,0.4616724738675958,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fredonia-Moccasin Unified District,0403080,Coconino County,04005,2-No,6-Not a Title I school,0401,Yes participating without using any Provision or the CEO,1-Primary,115,86,48,67,18,0,3,0,89,0,5,040308000241,Fredonia Elementary School,4195,Fredonia-Moccasin Unified District,33.5,2017,0,0.41739130434782606,0.5826086956521739,0.1565217391304348,0.0,0.02608695652173913,0.0,0.7739130434782608,0.0,0.043478260869565216,0.7478260869565218,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fredonia-Moccasin Unified District,0403080,Coconino County,04005,2-No,6-Not a Title I school,0401,Yes participating without using any Provision or the CEO,3-High,102,75,52,50,16,0,4,0,78,0,4,040308000242,Fredonia High School,4195,Fredonia-Moccasin Unified District,24.5,2017,0,0.5098039215686274,0.49019607843137253,0.1568627450980392,0.0,0.0392156862745098,0.0,0.7647058823529411,0.0,0.0392156862745098,0.7352941176470589,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Freedom Academy  Inc.,0400755,Maricopa County,04013,1-Yes,6-Not a Title I school,0406,No,1-Primary,403,38,212,191,3,12,90,5,275,2,16,040075502371,Freedom Academy,89506,"Freedom Academy, Inc.",52.0,2017,1,0.5260545905707196,0.4739454094292804,0.007444168734491315,0.02977667493796526,0.22332506203473945,0.01240694789081886,0.6823821339950372,0.004962779156327543,0.03970223325062035,0.09429280397022333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
