Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,National School Lunch Program,School ID - NCES Assigned,School Name,District Entity ID,District Name,Average Percent Passing,Year,Charter School Dummy,Male Students Percentage,Female Students Percentage,American Indian/Alaska Native Students Percentage,Asian or Asian/Pacific Islander Students Percentage,Hispanic Students Percentage,Black or African American Students Percentage,White Students Percentage,Nat. Hawaiian or Other Pacific Isl. Students Percentage,Two or More Races Students Percentage,Free and Reduced Lunch Students Percentage,School Level: Primary,School Level: Middle,School Level: High,School Level: Other,Apache County,Cochise County,Coconino County,Gila County,Graham County,Greenlee County,La Paz County,Maricopa County,Mohave County,Navajo County,Pima County,Pinal County,Santa Cruz County,Yavapai County,Yuma County,0403,0401,0406,0407,0404,0402,0405,0409,0408
ASU Preparatory Academy 3,0400859,Maricopa County,04013,1-Yes,6-Not a Title I school,0405,High,266,,138,128,3,15,68,18,141,3,18,No,040085903251,ASU Preparatory Academy-Polytechnic High School,91305,ASU Preparatory Academy,64.5,2018,1,0.518796992481203,0.48120300751879697,0.011278195488721804,0.05639097744360902,0.2556390977443609,0.06766917293233082,0.5300751879699248,0.011278195488721804,0.06766917293233082,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ASU Preparatory Academy 6,0400884,Maricopa County,04013,1-Yes,6-Not a Title I school,0405,Middle,295,,151,144,2,14,88,12,156,0,23,No,040088403264,ASU Preparatory Academy-Polytechnic Middle School,92327,ASU Preparatory Academy,67.5,2018,1,0.511864406779661,0.488135593220339,0.006779661016949152,0.04745762711864407,0.2983050847457627,0.04067796610169491,0.5288135593220339,0.0,0.07796610169491526,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chandler Unified District #80,0401870,Maricopa County,04013,2-No,6-Not a Title I school,0405,Elementary,806,40,449,357,1,65,107,19,571,0,43,Yes participating without using any Provision or the CEO,040187002587,Audrey & Robert Ryan Elementary,4242,Chandler Unified District #80,76.5,2018,0,0.5570719602977667,0.44292803970223327,0.0012406947890818859,0.08064516129032258,0.1327543424317618,0.02357320099255583,0.7084367245657568,0.0,0.05334987593052109,0.04962779156327544,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gilbert Unified District,0403400,Maricopa County,04013,2-No,6-Not a Title I school,0405,Elementary,999,228,529,470,5,26,230,20,666,5,47,Yes participating without using any Provision or the CEO,040340002114,Augusta Ranch Elementary,4239,Gilbert Unified District,52.5,2018,0,0.5295295295295295,0.47047047047047047,0.005005005005005005,0.026026026026026026,0.23023023023023023,0.02002002002002002,0.6666666666666666,0.005005005005005005,0.04704704704704705,0.22822822822822822,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Phoenix Elementary District,0406300,Maricopa County,04013,2-No,1-Title I targeted assistance eligible school-No program,0407,Elementary,390,117,189,201,4,5,185,40,131,0,25,Yes participating without using any Provision or the CEO,040630002129,Augustus H. Shaw Montessori,4256,Phoenix Elementary District,54.0,2018,0,0.4846153846153846,0.5153846153846153,0.010256410256410256,0.01282051282051282,0.47435897435897434,0.10256410256410256,0.33589743589743587,0.0,0.0641025641025641,0.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Antelope Union High School District,0400720,Yuma County,04027,2-No,,0404,High,25,13,13,12,0,0,18,0,7,0,0,Yes participating without using any Provision or the CEO,040072003466,AUHS Online Acadamy,4506,Antelope Union High School District,,2018,0,0.52,0.48,0.0,0.0,0.72,0.0,0.28,0.0,0.0,0.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Excalibur Charter Schools  Inc.,0400235,Pinal County,04021,1-Yes,6-Not a Title I school,0404,Elementary,300,258,140,160,0,1,99,3,187,0,10,Yes participating without using any Provision or the CEO,040023503157,Avalon Elementary,79214,"Excalibur Charter Schools, Inc.",48.0,2018,1,0.4666666666666667,0.5333333333333333,0.0,0.0033333333333333335,0.33,0.01,0.6233333333333333,0.0,0.03333333333333333,0.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Avondale Elementary District,0400960,Maricopa County,04013,2-No,5-Title I schoolwide school,0403,Middle,432,358,226,206,2,3,312,81,29,0,5,Yes participating without using any Provision or the CEO,040096003387,Avondale Middle School,4272,Avondale Elementary District,26.0,2018,0,0.5231481481481481,0.47685185185185186,0.004629629629629629,0.006944444444444444,0.7222222222222222,0.1875,0.06712962962962964,0.0,0.011574074074074073,0.8287037037037037,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AZ Compass Schools  Inc.,0400785,Maricopa County,04013,1-Yes,5-Title I schoolwide school,0409,High,173,,99,74,66,1,56,29,20,0,1,Yes under Provision 2,040078502929,AZ Compass Prep School,89869,"AZ Compass Schools, Inc.",11.0,2018,1,0.5722543352601156,0.4277456647398844,0.3815028901734104,0.005780346820809248,0.3236994219653179,0.1676300578034682,0.11560693641618497,0.0,0.005780346820809248,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Az-Tec High School,0400094,Yuma County,04027,1-Yes,6-Not a Title I school,0403,High,91,83,55,36,3,1,81,0,3,0,3,Yes under Provision 2,040009401109,AZTEC High School,4508,Az-Tec High School,,2018,1,0.6043956043956044,0.3956043956043956,0.03296703296703297,0.01098901098901099,0.8901098901098901,0.0,0.03296703296703297,0.0,0.03296703296703297,0.9120879120879121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Baboquivari Unified School District #40,0403950,Pima County,04019,2-No,6-Not a Title I school,0403,High,163,102,69,94,160,1,2,0,0,0,0,Yes under Community Eligibility Option (CEO),040395000310,Baboquivari High School,4412,Baboquivari Unified School District #40,12.5,2018,0,0.4233128834355828,0.5766871165644172,0.9815950920245399,0.006134969325153374,0.012269938650306749,0.0,0.0,0.0,0.0,0.6257668711656442,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Baboquivari Unified School District #40,0403950,Pima County,04019,2-No,6-Not a Title I school,0403,Middle,150,81,79,71,144,0,4,0,0,0,2,Yes under Community Eligibility Option (CEO),040395000311,Baboquivari Middle School,4412,Baboquivari Unified School District #40,10.0,2018,0,0.5266666666666666,0.47333333333333333,0.96,0.0,0.02666666666666667,0.0,0.0,0.0,0.013333333333333334,0.54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Bagdad Unified District,0401000,Yavapai County,04025,2-No,3-Title I schoolwide eligible-Title I targeted assistance program,0404,Elementary,209,95,105,104,11,2,65,3,124,2,2,Yes participating without using any Provision or the CEO,040100000052,Bagdad Elementary School,4468,Bagdad Unified District,36.0,2018,0,0.5023923444976076,0.49760765550239233,0.05263157894736842,0.009569377990430622,0.31100478468899523,0.014354066985645933,0.5933014354066986,0.009569377990430622,0.009569377990430622,0.45454545454545453,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Bagdad Unified District,0401000,Yavapai County,04025,2-No,1-Title I targeted assistance eligible school-No program,0404,High,202,90,109,93,4,2,65,3,125,1,2,Yes participating without using any Provision or the CEO,040100000053,Bagdad Middle / Senior High School,4468,Bagdad Unified District,25.0,2018,0,0.5396039603960396,0.4603960396039604,0.019801980198019802,0.009900990099009901,0.3217821782178218,0.01485148514851485,0.6188118811881188,0.0049504950495049506,0.009900990099009901,0.44554455445544555,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Buckeye Elementary District,0401380,Maricopa County,04013,2-No,6-Not a Title I school,0403,Elementary,756,581,402,354,6,8,483,50,190,2,17,Yes under Community Eligibility Option (CEO),040138003123,Bales Elementary School,4269,Buckeye Elementary District,16.5,2018,0,0.5317460317460317,0.46825396825396826,0.007936507936507936,0.010582010582010581,0.6388888888888888,0.06613756613756613,0.25132275132275134,0.0026455026455026454,0.022486772486772486,0.7685185185185185,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ball Charter Schools (Val Vista),0400867,Maricopa County,04013,1-Yes,6-Not a Title I school,0405,Elementary,287,,150,137,4,24,40,13,186,4,16,No,040086703342,Ball Charter Schools (Val Vista),90885,Ball Charter Schools (Val Vista),58.0,2018,1,0.5226480836236934,0.47735191637630664,0.013937282229965157,0.08362369337979095,0.13937282229965156,0.04529616724738676,0.6480836236933798,0.013937282229965157,0.05574912891986063,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Litchfield Elementary District,0404380,Maricopa County,04013,2-No,6-Not a Title I school,0408,Elementary,757,401,380,377,10,37,334,83,238,4,51,Yes participating without using any Provision or the CEO,040438002499,Barbara B. Robey Elementary School,4281,Litchfield Elementary District,50.5,2018,0,0.5019815059445178,0.49801849405548215,0.013210039630118891,0.0488771466314399,0.44121532364597094,0.1096433289299868,0.3143989431968296,0.005284015852047556,0.06737120211360634,0.5297225891677675,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Deer Valley Unified District,0407750,Maricopa County,04013,2-No,5-Title I schoolwide school,0406,High,1634,832,811,823,32,52,597,121,781,9,42,Yes participating without using any Provision or the CEO,040775001331,Barry Goldwater High School,4246,Deer Valley Unified District,32.0,2018,0,0.496328029375765,0.503671970624235,0.019583843329253364,0.03182374541003672,0.3653610771113831,0.0740514075887393,0.47796817625459,0.0055079559363525096,0.025703794369645042,0.5091799265605875,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chandler Unified District #80,0401870,Maricopa County,04013,2-No,6-Not a Title I school,0405,Elementary,687,122,364,323,23,56,124,19,435,3,27,Yes participating without using any Provision or the CEO,040187001996,Basha Elementary,4242,Chandler Unified District #80,65.0,2018,0,0.529839883551674,0.47016011644832606,0.033478893740902474,0.08151382823871907,0.1804949053857351,0.027656477438136828,0.6331877729257642,0.004366812227074236,0.039301310043668124,0.17758369723435224,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chandler Unified District #80,0401870,Maricopa County,04013,2-No,6-Not a Title I school,0405,High,2593,284,1335,1258,32,178,409,152,1749,13,60,Yes participating without using any Provision or the CEO,040187002250,Basha High School,4242,Chandler Unified District #80,55.5,2018,0,0.5148476667952179,0.4851523332047821,0.012340917855765523,0.06864635557269572,0.1577323563440031,0.05861935981488623,0.6745082915541843,0.005013497878904744,0.023139220979560355,0.10952564596991901,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BASIS School Inc. 9,0400897,Maricopa County,04013,1-Yes,6-Not a Title I school,0409,Other,769,,348,421,1,369,64,38,269,3,25,No,040089703376,BASIS Ahwatukee,91339,"BASIS School, Inc.",86.0,2018,1,0.45253576072821844,0.5474642392717816,0.0013003901170351106,0.4798439531859558,0.08322496749024708,0.0494148244473342,0.34980494148244473,0.0039011703511053317,0.032509752925877766,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BASIS School Inc. 5,0400830,Maricopa County,04013,1-Yes,6-Not a Title I school,0405,High,951,,476,475,4,731,36,22,138,1,19,No,040083003253,BASIS Chandler,90842,"BASIS School, Inc.",93.0,2018,1,0.5005257623554153,0.49947423764458465,0.004206098843322818,0.768664563617245,0.03785488958990536,0.023133543638275498,0.14511041009463724,0.0010515247108307045,0.019978969505783387,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BASIS School Inc. 18,0400958,Maricopa County,04013,1-Yes,6-Not a Title I school,0405,Elementary,577,,287,290,5,336,53,41,113,0,29,No,040095803534,BASIS Chandler Primary - North Campus,92997,"BASIS School, Inc.",84.0,2018,1,0.49740034662045063,0.5025996533795494,0.008665511265164644,0.5823223570190641,0.09185441941074524,0.07105719237435008,0.19584055459272098,0.0,0.05025996533795494,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BASIS School Inc. 17,0400936,Maricopa County,04013,1-Yes,6-Not a Title I school,0405,Elementary,464,,265,199,0,361,17,21,48,1,16,No,040093603484,BASIS Chandler Primary- South Campus,92865,"BASIS School, Inc.",89.5,2018,1,0.5711206896551724,0.42887931034482757,0.0,0.7780172413793104,0.036637931034482756,0.04525862068965517,0.10344827586206896,0.0021551724137931034,0.034482758620689655,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BASIS School Inc. 6,0400831,Coconino County,04005,1-Yes,6-Not a Title I school,0401,Other,631,,305,326,19,45,69,4,452,1,41,No,040083103196,BASIS Flagstaff,90862,"BASIS School, Inc.",84.5,2018,1,0.48335974643423135,0.5166402535657686,0.030110935023771792,0.07131537242472266,0.10935023771790808,0.006339144215530904,0.716323296354992,0.001584786053882726,0.06497622820919176,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BASIS School Inc. 14,0400941,Maricopa County,04013,1-Yes,6-Not a Title I school,0408,Middle,217,,97,120,1,65,37,22,75,0,17,No,040094103502,BASIS Goodyear,92734,"BASIS School, Inc.",82.0,2018,1,0.4470046082949309,0.5529953917050692,0.004608294930875576,0.2995391705069124,0.17050691244239632,0.10138248847926268,0.3456221198156682,0.0,0.07834101382488479,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BASIS School Inc. 15,0400943,Maricopa County,04013,1-Yes,6-Not a Title I school,0408,Elementary,623,,309,314,1,109,190,86,190,3,44,No,040094303498,BASIS Goodyear Primary,92736,"BASIS School, Inc.",72.0,2018,1,0.4959871589085072,0.5040128410914928,0.0016051364365971107,0.17495987158908508,0.30497592295345105,0.13804173354735153,0.30497592295345105,0.004815409309791332,0.07062600321027288,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BASIS School Inc. 10,0400898,Maricopa County,04013,1-Yes,6-Not a Title I school,0405,Other,622,,322,300,4,129,88,42,334,1,24,No,040089803393,BASIS Mesa,91949,"BASIS School, Inc.",86.5,2018,1,0.5176848874598071,0.48231511254019294,0.006430868167202572,0.20739549839228297,0.1414790996784566,0.06752411575562701,0.5369774919614148,0.001607717041800643,0.03858520900321544,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BASIS School Inc. 3,0400818,Pima County,04019,1-Yes,6-Not a Title I school,0401,High,552,,275,277,4,112,81,8,331,1,15,No,040081803197,BASIS Oro Valley,90508,"BASIS School, Inc.",94.0,2018,1,0.49818840579710144,0.5018115942028986,0.007246376811594203,0.2028985507246377,0.14673913043478262,0.014492753623188406,0.5996376811594203,0.0018115942028985507,0.02717391304347826,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
BASIS School Inc. 11,0400905,Pima County,04019,1-Yes,6-Not a Title I school,0401,Elementary,731,,347,384,1,139,147,19,382,3,40,No,040090503419,BASIS Oro Valley Primary,92318,"BASIS School, Inc.",87.5,2018,1,0.4746922024623803,0.5253077975376197,0.0013679890560875513,0.19015047879616964,0.20109439124487005,0.025991792065663474,0.5225718194254446,0.004103967168262654,0.05471956224350205,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
BASIS School Inc. 4,0400829,Maricopa County,04013,1-Yes,6-Not a Title I school,0408,High,831,,422,409,2,475,36,34,258,2,24,No,040082903278,BASIS Peoria,90841,"BASIS School, Inc.",91.5,2018,1,0.5078219013237064,0.49217809867629364,0.0024067388688327317,0.5716004813477737,0.04332129963898917,0.04091456077015644,0.3104693140794224,0.0024067388688327317,0.02888086642599278,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BASIS School Inc. 19,0400963,Maricopa County,04013,1-Yes,6-Not a Title I school,0408,Elementary,627,,323,304,4,384,60,25,134,5,15,No,040096303558,BASIS Peoria Primary,273398,"BASIS School, Inc.",86.5,2018,1,0.5151515151515151,0.48484848484848486,0.006379585326953748,0.6124401913875598,0.09569377990430622,0.03987240829346093,0.21371610845295055,0.007974481658692184,0.023923444976076555,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BASIS School Inc. 7,0400843,Maricopa County,04013,1-Yes,6-Not a Title I school,0406,High,787,,393,394,4,327,54,17,360,0,25,No,040084303351,BASIS Phoenix,91280,"BASIS School, Inc.",89.5,2018,1,0.4993646759847522,0.5006353240152478,0.005082592121982211,0.4155019059720457,0.06861499364675985,0.021601016518424398,0.45743329097839897,0.0,0.03176620076238882,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BASIS School Inc. 13,0400881,Maricopa County,04013,1-Yes,6-Not a Title I school,0409,Other,898,,462,436,6,255,214,69,301,2,51,No,040088103394,BASIS Phoenix Central Primary,92349,"BASIS School, Inc.",73.0,2018,1,0.5144766146993318,0.48552338530066813,0.0066815144766146995,0.28396436525612473,0.2383073496659243,0.07683741648106904,0.3351893095768374,0.0022271714922048997,0.05679287305122494,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BASIS School Inc. 12,0400903,Yavapai County,04025,1-Yes,6-Not a Title I school,0404,Other,756,,416,340,2,58,82,15,580,1,18,No,040090303418,BASIS Prescott,92320,"BASIS School, Inc.",82.0,2018,1,0.5502645502645502,0.4497354497354497,0.0026455026455026454,0.07671957671957672,0.10846560846560846,0.01984126984126984,0.7671957671957672,0.0013227513227513227,0.023809523809523808,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
BASIS School Inc. 2,0400608,Maricopa County,04013,1-Yes,6-Not a Title I school,0406,Other,1148,,604,544,0,598,70,16,399,7,58,No,040060803115,BASIS Scottsdale,81078,"BASIS School, Inc.",91.5,2018,1,0.5261324041811847,0.4738675958188153,0.0,0.5209059233449478,0.06097560975609756,0.013937282229965157,0.3475609756097561,0.006097560975609756,0.050522648083623695,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BASIS School Inc. 8,0400878,Pima County,04019,1-Yes,6-Not a Title I school,0402,High,960,,469,491,5,176,183,26,543,3,24,No,040087803350,BASIS Tucson North,91309,"BASIS School, Inc.",88.0,2018,1,0.48854166666666665,0.5114583333333333,0.005208333333333333,0.18333333333333332,0.190625,0.027083333333333334,0.565625,0.003125,0.025,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
BASIS School Inc. 1,0400134,Pima County,04019,1-Yes,6-Not a Title I school,0402,Other,773,,370,403,6,149,275,31,249,2,61,No,040013401786,BASIS Tucson Primary,6361,"BASIS School, Inc.",80.0,2018,1,0.47865459249676584,0.5213454075032341,0.007761966364812419,0.1927554980595084,0.35575679172056923,0.040103492884864166,0.3221216041397154,0.00258732212160414,0.07891332470892626,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Beaver Creek Elementary District,0401080,Yavapai County,04025,2-No,5-Title I schoolwide school,0401,Elementary,305,200,164,141,10,0,105,0,179,1,10,Yes participating without using any Provision or the CEO,040108000059,Beaver Creek School,4481,Beaver Creek Elementary District,20.5,2018,0,0.5377049180327869,0.46229508196721314,0.03278688524590164,0.0,0.3442622950819672,0.0,0.5868852459016394,0.003278688524590164,0.03278688524590164,0.6557377049180327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Littlefield Unified District,0404410,Mohave County,04015,2-No,6-Not a Title I school,0404,Elementary,191,144,96,95,3,0,112,0,72,0,4,Yes participating without using any Provision or the CEO,040441001302,Beaver Dam Elementary,4374,Littlefield Unified District,40.0,2018,0,0.5026178010471204,0.4973821989528796,0.015706806282722512,0.0,0.5863874345549738,0.0,0.3769633507853403,0.0,0.020942408376963352,0.7539267015706806,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Littlefield Unified District,0404410,Mohave County,04015,2-No,6-Not a Title I school,0404,High,194,117,94,100,3,1,126,0,64,0,0,Yes participating without using any Provision or the CEO,040441002418,Beaver Dam High School,4374,Littlefield Unified District,15.5,2018,0,0.4845360824742268,0.5154639175257731,0.015463917525773196,0.005154639175257732,0.6494845360824743,0.0,0.32989690721649484,0.0,0.0,0.6030927835051546,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sierra Vista Unified District,0401460,Cochise County,04003,2-No,5-Title I schoolwide school,0402,Elementary,356,195,166,190,4,6,147,32,132,3,32,Yes under Community Eligibility Option (CEO),040146003062,Bella Vista Elementary School,4175,Sierra Vista Unified District,50.5,2018,0,0.46629213483146065,0.5337078651685393,0.011235955056179775,0.016853932584269662,0.41292134831460675,0.0898876404494382,0.3707865168539326,0.008426966292134831,0.0898876404494382,0.547752808988764,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Deer Valley Unified District,0407750,Maricopa County,04013,2-No,5-Title I schoolwide school,0408,Elementary,464,204,220,244,2,8,120,19,290,3,22,Yes participating without using any Provision or the CEO,040775001146,Bellair Elementary School,4246,Deer Valley Unified District,50.0,2018,0,0.47413793103448276,0.5258620689655172,0.004310344827586207,0.017241379310344827,0.25862068965517243,0.040948275862068964,0.625,0.00646551724137931,0.04741379310344827,0.4396551724137931,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Benchmark School  Inc.,0400181,Maricopa County,04013,1-Yes,6-Not a Title I school,0406,Elementary,405,,202,203,5,19,29,7,333,1,11,No,040018101889,Benchmark School,10972,"Benchmark School, Inc.",80.5,2018,1,0.49876543209876545,0.5012345679012346,0.012345679012345678,0.04691358024691358,0.07160493827160494,0.01728395061728395,0.8222222222222222,0.0024691358024691358,0.027160493827160494,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Benjamin Franklin Charter School,0400065,Maricopa County,04013,1-Yes,6-Not a Title I school,0405,Elementary,736,,358,378,4,6,114,8,581,1,22,No,040006501599,Benjamin Franklin Charter School - Crismon,4355,Benjamin Franklin Charter School,63.5,2018,1,0.48641304347826086,0.5135869565217391,0.005434782608695652,0.008152173913043478,0.15489130434782608,0.010869565217391304,0.7894021739130435,0.001358695652173913,0.029891304347826088,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Benjamin Franklin Charter School,0400065,Maricopa County,04013,1-Yes,6-Not a Title I school,0405,Elementary,538,,282,256,3,15,103,11,370,0,36,No,040006501600,Benjamin Franklin Charter School - Gilbert,4355,Benjamin Franklin Charter School,68.5,2018,1,0.5241635687732342,0.4758364312267658,0.0055762081784386614,0.027881040892193308,0.19144981412639406,0.020446096654275093,0.6877323420074349,0.0,0.06691449814126393,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Benjamin Franklin Charter School,0400065,Maricopa County,04013,1-Yes,6-Not a Title I school,0405,Elementary,716,,359,357,1,19,70,15,585,3,23,No,040006502685,Benjamin Franklin Charter School - Power,4355,Benjamin Franklin Charter School,70.5,2018,1,0.5013966480446927,0.49860335195530725,0.0013966480446927375,0.02653631284916201,0.09776536312849161,0.02094972067039106,0.8170391061452514,0.004189944134078212,0.03212290502793296,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Benjamin Franklin Charter School,0400065,Maricopa County,04013,1-Yes,6-Not a Title I school,0405,High,995,,502,493,1,27,125,21,787,4,30,No,040006503395,Benjamin Franklin High School,4355,Benjamin Franklin Charter School,65.5,2018,1,0.5045226130653266,0.49547738693467336,0.0010050251256281408,0.027135678391959798,0.12562814070351758,0.021105527638190954,0.7909547738693468,0.004020100502512563,0.03015075376884422,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Twenty First Century Charter School  Inc. Bennett Academy,0400037,Maricopa County,04013,1-Yes,6-Not a Title I school,0407,Elementary,179,,92,87,6,3,107,25,33,0,5,No,040003700712,Bennett Academy,4310,"Twenty First Century Charter School, Inc. Bennett Academy",44.5,2018,1,0.5139664804469274,0.4860335195530726,0.0335195530726257,0.01675977653631285,0.5977653631284916,0.13966480446927373,0.18435754189944134,0.0,0.027932960893854747,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Twenty First Century Charter School  Inc. Bennett Academy,0400037,Maricopa County,04013,1-Yes,6-Not a Title I school,0409,Elementary,119,,58,61,7,11,56,6,31,1,7,No,040003703168,Bennett Academy - Venture Site,4310,"Twenty First Century Charter School, Inc. Bennett Academy",48.0,2018,1,0.48739495798319327,0.5126050420168067,0.058823529411764705,0.09243697478991597,0.47058823529411764,0.05042016806722689,0.2605042016806723,0.008403361344537815,0.058823529411764705,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Benson Unified School District,0400212,Cochise County,04003,2-No,5-Title I schoolwide school,0402,High,338,124,180,158,2,3,74,11,244,2,2,Yes participating without using any Provision or the CEO,040021200061,Benson High School,79226,Benson Unified School District,52.5,2018,0,0.5325443786982249,0.46745562130177515,0.005917159763313609,0.008875739644970414,0.21893491124260356,0.03254437869822485,0.7218934911242604,0.005917159763313609,0.005917159763313609,0.3668639053254438,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Benson Unified School District,0400212,Cochise County,04003,2-No,5-Title I schoolwide school,0402,Middle,280,131,145,135,1,1,85,6,183,0,4,Yes participating without using any Provision or the CEO,040021201120,Benson Middle School,79226,Benson Unified School District,49.5,2018,0,0.5178571428571429,0.48214285714285715,0.0035714285714285713,0.0035714285714285713,0.30357142857142855,0.02142857142857143,0.6535714285714286,0.0,0.014285714285714285,0.46785714285714286,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
